,#KIC_ID,U,V,W,TMASS_ID,J_APOGEE,ERROR_J_APOGEE,H_APOGEE,ERROR_H_APOGEE,K_APOGEE,ERROR_K_APOGEE,RA_GAIA,DEC_GAIA,TEFF_APOGEE,ERROR_TEFF_APOGEE,M_H_BASTA,ERROR_M_H_APOGEE,LOGG_APOGEE,ERROR_LOGG_APOGEE,PARALLAX_GAIA,ERROR_PARALLAX_GAIA_x,EVO_BASTA,pmra,pmra_error,pmdec,pmdec_error,ERROR_PARALLAX_GAIA_y,radial_velocity,radial_velocity_error,FeH,age,age_errp,age_errm,massfin,massfin_errp,massfin_errm,radPhot,radPhot_errp,radPhot_errm,X_corr,Y_corr,Z_corr
4421,9905106,74.1730795811919,-35.417334106639515,-33.61714498901262,19483203+4643446,11.038999557495117,0.02199999988079071,10.463000297546387,0.017000000923871994,10.366999626159668,0.023000000044703484,297.13348014442414,46.72899818697314,4752.927734375,78.34750366210938,-0.15934047102928162,0.033129759132862084,2.675132751464844,0.06204923242330551,0.5390127486510281,0.025910524355465047,"solar,rgb",-2.1265255976159727,0.047046420121733504,-9.460451838715436,0.050069477909760525,0.025910524355465047,-28.270452697581764,2.7879019591812555,-0.15,8000.0,4200.0,2600.0,1.0734211025532077,0.1248795752878138,0.11534789016725255,7.990745591282852,0.23435217672288644,0.2273329455432451,-8006.880378639057,1799.044154705707,355.676202574039
4422,10156534,28.851846755101533,-8.836757449129152,-24.585623302652568,19483225+4706344,7.915999889373777,0.027000000700354576,7.364999771118164,0.019999999552965164,7.282999992370605,0.017999999225139618,297.13443453377533,47.10948706016178,4730.0380859375,71.2724609375,0.2401924431324005,0.026348724961280826,2.8131425380706787,0.04973745346069336,2.409011451558084,0.0242123354951293,"solar,rgb",4.549621623995312,0.046916926586668295,-19.0477380328154,0.04592809922107003,0.0242123354951293,-8.539390211351272,0.47751203390618396,0.3,4100.0,1200.0,800.0,1.414267094722386,0.0898196328666232,0.10282617991201316,7.460465418670554,0.07975165121541483,0.07406828281537338,-8245.420761471007,402.69026635441,96.21718959016464
4423,11519405,33.00800834356855,26.489850510908862,22.494668717474788,19483294+4924231,10.673999786376953,0.024000000208616257,10.20199966430664,0.017000000923871994,10.102999687194824,0.014000000432133676,297.13721649026365,49.40637791868808,4948.77783203125,87.9434585571289,-0.2138489484786988,0.037956621497869485,2.604844093322754,0.04956178367137909,0.8494165113283758,0.018829139097264143,"solar,rgb",-7.696765600116308,0.03634185835268165,-3.284301204615309,0.037170559254371516,0.018829139097264143,34.35235754408147,0.8725358914938307,-0.3,18380.587839323693,261.1742239560226,580.587839323689,0.8317919537462134,0.00709739867448378,0.002728738519264251,5.997316126578113,0.04852049431923966,0.02750937542247289,-8166.545196750889,1143.664805817618,258.774363739018
4424,7976619,57.446127435185325,-14.903778704364926,-23.519692695276518,19483309+4346060,9.255000114440918,0.020999999716877937,8.763999938964844,0.017999999225139618,8.630000114440918,0.014000000432133676,297.137865646871,43.768315491629096,4965.94775390625,82.39778900146484,0.13833053410053253,0.03170571103692055,2.635019540786743,0.041678600013256066,0.9982209516841206,0.023024027969216727,"flash,clump,agb",-2.6626150520005027,0.040941044031058575,-13.243334996954491,0.045407873575359414,0.023024027969216727,-6.052597840323062,0.3383378457256893,0.15,1800.0,100.0,100.0,1.8100250849819497,0.03417316000018933,0.039918595506645005,9.638315459216868,0.16025351342283756,0.1623791559805845,-8101.63068795485,967.0635892278231,176.26399947615718
4425,7908109,-111.19493127834123,-127.62288265061069,46.67602716680026,19483586+4339471,11.03600025177002,0.020999999716877937,10.472000122070312,0.017999999225139618,10.343000411987305,0.016000000759959214,297.14942383721296,43.66315390147982,4773.98193359375,81.57731628417969,-0.5738645792007446,0.04351017996668816,2.5867600440979004,0.07488428801298141,0.5145680497387689,0.028961223745865176,"solar,rgb",-3.0513430875898098,0.04434798406236736,11.384062784753961,0.04888500576562897,0.028961223745865176,-139.3487232042519,1.2594183462791368,-0.6,12700.0,4400.0,3800.0,0.8699799706656923,0.08892682616541159,0.06777850375012251,8.355730877437473,0.28155336181270485,0.2640691798841281,-7901.819101522539,1875.698917371084,321.403769843041
4426,6304895,53.623004016898356,-47.855230777542715,-16.34735956938304,19483629+4139134,9.88700008392334,0.020999999716877937,9.32800006866455,0.024000000208616257,9.204000473022461,0.017000000923871994,297.1511671511286,41.65369670427635,4906.84912109375,79.63470458984375,0.06789758056402206,0.03158598765730858,2.581916093826294,0.04139560461044312,0.5756034945437554,0.02817820679215396,"flash,clump,agb",-3.4765542612941758,0.0635286153863868,-7.413734153802509,0.053808411733788516,0.02817820679215396,-35.31543223672415,0.4364757529205111,0.06,800.0,200.0,200.0,2.4440407617351987,0.20480097771450104,0.22311461609479769,12.717032802100553,0.3657894187973856,0.3829073400342935,-7892.595118808144,1668.9950888093579,259.7115493189104
4427,7976673,59.538308003857864,9.118757725249909,-16.37305346438442,19483666+4345332,11.541999816894533,0.020999999716877937,11.001999855041504,0.017000000923871994,10.885000228881836,0.016000000759959214,297.1527834190802,43.759189594593494,4886.36962890625,87.72416687011719,0.05682745948433876,0.031122935935854912,3.0585615634918213,0.06013903394341469,0.7658464929920835,0.014343862088558448,"solar,rgb",-2.360168471709056,0.02484762581591161,-9.468643435645603,0.029551573449575774,0.014343862088558448,18.69868100624916,1.456292374466858,0.06,12700.0,3300.0,3500.0,0.996494549436,0.08457353928006063,0.06242395351990604,4.446480594527203,0.059036375353993975,0.05863728909929389,-8038.016443723803,1260.5269845447428,223.44167908402275
4428,10288903,-78.83835090304805,-41.41955930577686,8.269525382200763,19483738+4722204,10.295999526977539,0.01899999938905239,9.756999969482422,0.017000000923871994,9.642999649047852,0.014000000432133676,297.1557786261352,47.372375774767285,4749.7490234375,72.59339904785156,-0.0013164617121219635,0.030130846425890926,2.64822769165039,0.05412176251411438,0.6052477560795751,0.023912551549551492,"solar,rgb",3.5025542930982763,0.048916204680664835,9.095105812450921,0.04387489822313796,0.02391255154955149,-50.79178614622711,0.4432119753917651,0.0,2700.0,900.0,600.0,1.511855879509424,0.11821165628653495,0.12242362510554194,9.885206256934227,0.23506327322040305,0.22525922772949336,-8056.667206987851,1603.2761817893625,327.336328860196
4429,6383574,81.37756304859343,-31.06245858116631,-23.751750124641642,19483757+4147189,9.406999588012695,0.024000000208616257,8.663999557495117,0.020999999716877937,8.491999626159668,0.017000000923871994,297.15651563706797,41.78856227118923,4448.64697265625,60.539512634277344,-0.0012893984094262125,0.02548087202012539,1.9892326593399048,0.05214982107281685,0.4162714164053012,0.02265595385147021,"solar,rgb",-2.7727653798779337,0.04203305734425314,-7.558319110999157,0.0449502946303196,0.02265595385147021,-13.724786453654273,0.25162407302719697,0.0,1000.0,400.0,200.0,2.095111601234964,0.16838098702429916,0.21754464105694807,25.13946518551584,0.8292833114524321,0.7680986421270468,-7737.363785792024,2308.673984413269,354.1823976866031
