#KIC_ID,TMASS_ID,J_APOGEE,ERROR_J_APOGEE,H_APOGEE,ERROR_H_APOGEE,K_APOGEE,ERROR_K_APOGEE,RA_GAIA,DEC_GAIA,TEFF_APOGEE,ERROR_TEFF_APOGEE,M_H_BASTA,ERROR_M_H_APOGEE,LOGG_APOGEE,ERROR_LOGG_APOGEE,PARALLAX_GAIA,ERROR_PARALLAX_GAIA_x,EVO_BASTA,pmra,pmra_error,pmdec,pmdec_error,ERROR_PARALLAX_GAIA_y,radial_velocity,radial_velocity_error,FeH,X,Y,Z,age,age_errp,age_errm,massfin,massfin_errp,massfin_errm,radPhot,radPhot_errp,radPhot_errm
9025216,19320082+4523095,10.543999671936037,0.020999999716877937,10.017000198364258,0.017000000923871994,9.935999870300293,0.02199999988079071,293.0033871699265,45.38599136258458,4921.19482421875,84.04297637939453,-0.2661198973655701,0.039401594549417496,2.373677492141724,0.049599211663007736,0.3774046300968251,0.027510667040874414,"flash,clump,agb",-8.902743200798461,0.04556399918442308,-0.8243976980516536,0.05398861080010711,0.027510667040874414,-40.0601797751674,1.2078152905623551,-0.3,-8310.51058208285,-229.70974979837132,20.3166077747636,2000.0,1000.0,700.0,1.6001393542890032,0.3456430394049665,0.1976077019355129,13.569853527947874,0.9960240559168394,0.6415378308561106
10537820,19320184+4742452,10.996000289916992,0.020999999716877937,10.430999755859377,0.017000000923871994,10.321000099182127,0.014999999664723871,293.0076370633583,47.71258367927854,4792.9921875,74.42632293701172,0.05024498701095581,0.030219603329896923,3.007436037063598,0.05365106835961342,0.8988242639881471,0.020226871856357933,"solar,rgb",-1.805108224803636,0.03810106272351282,1.5581259911484442,0.043833847531085816,0.020226871856357933,-72.97594981319388,1.3710289472277155,0.06,-8310.867689047274,-231.17411873418405,20.00730183031267,14700.0,3400.0,3600.0,0.9571791074605526,0.07334193222460128,0.052047625927262975,4.8549520543498925,0.07336059628418656,0.07131347447548819
9713083,19320199+4629193,8.378000259399414,0.017999999225139618,7.829999923706055,0.023000000044703484,7.736000061035156,0.026000000536441803,293.00831386292333,46.488699446876325,4810.26708984375,75.20301818847656,0.04763460531830789,0.03049086034297943,2.495063304901123,0.0401100292801857,1.2820235304794358,0.02554040580345687,"flash,clump,agb",-3.6686748728490666,0.05081539431853537,3.2944469810824075,0.053752570195309005,0.02554040580345687,10.521033957334168,1.2085041064668247,0.06,-8310.908988028947,-231.49382833697757,19.923253858597434,3600.0,1000.0,800.0,1.4299872996079974,0.11067582577210078,0.10735074862175377,11.102274200034769,0.16626823699139948,0.18567601171306336
9221176,19320325+4540317,11.670999526977539,0.019999999552965164,10.984999656677246,0.01899999938905239,10.833000183105467,0.017000000923871994,293.013541507176,45.6754780499953,4327.01708984375,71.92365264892578,-0.08076702058315277,0.02536698803305626,1.7144957780838013,0.06951816380023956,0.12754667690168284,0.016452041420482826,"solar,rgb,flash,clump,agb",-2.599261918987687,0.02955518880621185,-3.1276544262798236,0.030106224705329268,0.016452041420482826,,,-0.08,-8309.477844283689,-224.74914031676232,21.44291650914628,3300.0,2300.0,1200.0,1.421686765158071,0.2174048660813601,0.20280291535823025,27.296812685528263,1.7574481583654171,1.6304886129081808
3241329,19320327+3820594,11.18299961090088,0.02199999988079071,10.640999794006348,0.019999999552965164,10.522000312805176,0.017999999225139618,293.013595694255,38.34980208052381,4887.46875,86.63532257080078,-0.10971863567829132,0.03475138172507286,2.429011821746826,0.047254711389541626,0.2989347197763047,0.02113480415542992,"flash,clump,agb",-6.344616548764432,0.03813411491729665,-8.407584091150397,0.04139643153567763,0.02113480415542992,-14.586722770325697,0.9966809327296979,-0.08,-8310.005823936648,-229.10870428199314,20.281397705792955,2200.0,700.0,600.0,1.6186597214497351,0.20226531782585355,0.15789676148188736,12.90443181547544,0.6132213110047289,0.5050989634998615
6610188,19320388+4204219,10.125,0.020999999716877937,9.571999549865724,0.01899999938905239,9.418999671936037,0.016000000759959214,293.0161468252844,42.07275383628596,4760.8525390625,72.78993225097656,0.11541061103343965,0.0281286146491766,2.780041217803955,0.051557548344135284,0.6161381681703926,0.02623580071996908,"solar,rgb",-1.8270011959602075,0.049492117765004166,-1.4154545429852232,0.0450933278484288,0.02623580071996908,6.561474680092747,0.7196854036553431,0.15,-8310.638615885138,-230.70163158407934,20.05547119488081,1200.0,300.0,250.0,2.0314265283711173,0.16361925320657322,0.16633042937801654,10.387606393132804,0.2547660513341405,0.24977937804623984
5964042,19320418+4113013,11.10200023651123,0.020999999716877937,10.489999771118164,0.01899999938905239,10.41100025177002,0.017999999225139618,293.017485815269,41.21700786527329,4819.154296875,79.09158325195312,-0.2907013595104217,0.03758383169770242,2.6658730506896973,0.06387622654438019,0.4896822059182614,0.026775526506717863,"solar,rgb",1.8706489317353607,0.043444085763946906,-3.7346200066121567,0.04487402182529531,0.026775526506717863,24.807837371600108,1.4929863515766555,-0.3,-8310.5039807382,-230.3091636558229,20.12066387092224,5300.0,2800.0,1600.0,1.1667750342979577,0.1372460689102568,0.12716573890180616,8.483946058030856,0.27712728160348554,0.2541259343475488
6952430,19320477+4228463,10.161999702453613,0.020999999716877937,9.616000175476074,0.01899999938905239,9.494000434875488,0.01899999938905239,293.01992679000307,42.479526545137965,4788.32861328125,74.19759368896484,0.07515221834182739,0.029992260038852688,2.445067882537842,0.0395875945687294,0.5393214569947753,0.024530443057664216,"flash,clump,agb",2.7540888316388847,0.0458821709332384,-0.24715518429888625,0.0490391241598578,0.024530443057664216,-46.88869676214402,0.5321762084343354,0.06,-8310.590813007893,-230.48055382798785,20.10477007721184,3600.0,1200.0,900.0,1.4424539953399196,0.1215086640828784,0.11987022814657755,11.788636997157614,0.3246846150994074,0.3115608829351988
9590930,19320579+4615500,10.45699977874756,0.020999999716877937,9.925999641418457,0.020999999716877937,9.763999938964844,0.01899999938905239,293.02412509851496,46.26383917521196,4699.44970703125,70.37704467773438,0.06043125316500664,0.028936784714460376,2.4473319053649902,0.0383644737303257,0.5240381830622258,0.02311760945291489,"flash,clump,agb",-2.126412812854444,0.04621188963868246,-12.346144411493087,0.045609652249043627,0.023117609452914887,-58.014947514216786,0.5145270599156961,0.06,-8310.689635642408,-230.41503273645202,20.170307172352405,7600.0,2900.0,2000.0,1.1523026381482864,0.10295215348213094,0.09662306312979174,10.504401469344627,0.18134503051203765,0.21883430997522346
3241374,19320616+3818346,8.590000152587889,0.024000000208616257,8.017999649047853,0.016000000759959214,7.936999797821045,0.017000000923871994,293.0256636222784,38.30954411890559,4828.97314453125,76.21233367919922,-0.025891397148370743,0.03199755772948265,2.448164701461792,0.041545320302248,1.094575215714088,0.02297588162948817,"flash,clump,agb",-4.1307111936789855,0.039407835031018974,-6.009712142667035,0.04371461183075453,0.02297588162948817,23.36512055534357,0.13256940311525606,-0.05,-8310.7687575915,-231.3849191699801,19.894701773180845,3000.0,900.0,700.0,1.480660575571614,0.12188121349939075,0.11716323813878506,11.961408836998595,0.17928331721067714,0.16927701445359666
